"","steps","date","interval","day"
"1",1.71698113207547,2012-10-01,0,"Weekday"
"2",0.339622641509434,2012-10-01,5,"Weekday"
"3",0.132075471698113,2012-10-01,10,"Weekday"
"4",0.150943396226415,2012-10-01,15,"Weekday"
"5",0.0754716981132075,2012-10-01,20,"Weekday"
"6",2.09433962264151,2012-10-01,25,"Weekday"
"7",0.528301886792453,2012-10-01,30,"Weekday"
"8",0.867924528301887,2012-10-01,35,"Weekday"
"9",0,2012-10-01,40,"Weekday"
"10",1.47169811320755,2012-10-01,45,"Weekday"
"11",0.30188679245283,2012-10-01,50,"Weekday"
"12",0.132075471698113,2012-10-01,55,"Weekday"
"13",0.320754716981132,2012-10-01,100,"Weekday"
"14",0.679245283018868,2012-10-01,105,"Weekday"
"15",0.150943396226415,2012-10-01,110,"Weekday"
"16",0.339622641509434,2012-10-01,115,"Weekday"
"17",0,2012-10-01,120,"Weekday"
"18",1.11320754716981,2012-10-01,125,"Weekday"
"19",1.83018867924528,2012-10-01,130,"Weekday"
"20",0.169811320754717,2012-10-01,135,"Weekday"
"21",0.169811320754717,2012-10-01,140,"Weekday"
"22",0.377358490566038,2012-10-01,145,"Weekday"
"23",0.264150943396226,2012-10-01,150,"Weekday"
"24",0,2012-10-01,155,"Weekday"
"25",0,2012-10-01,200,"Weekday"
"26",0,2012-10-01,205,"Weekday"
"27",1.13207547169811,2012-10-01,210,"Weekday"
"28",0,2012-10-01,215,"Weekday"
"29",0,2012-10-01,220,"Weekday"
"30",0.132075471698113,2012-10-01,225,"Weekday"
"31",0,2012-10-01,230,"Weekday"
"32",0.226415094339623,2012-10-01,235,"Weekday"
"33",0,2012-10-01,240,"Weekday"
"34",0,2012-10-01,245,"Weekday"
"35",1.54716981132075,2012-10-01,250,"Weekday"
"36",0.943396226415094,2012-10-01,255,"Weekday"
"37",0,2012-10-01,300,"Weekday"
"38",0,2012-10-01,305,"Weekday"
"39",0,2012-10-01,310,"Weekday"
"40",0,2012-10-01,315,"Weekday"
"41",0.207547169811321,2012-10-01,320,"Weekday"
"42",0.622641509433962,2012-10-01,325,"Weekday"
"43",1.62264150943396,2012-10-01,330,"Weekday"
"44",0.584905660377358,2012-10-01,335,"Weekday"
"45",0.490566037735849,2012-10-01,340,"Weekday"
"46",0.0754716981132075,2012-10-01,345,"Weekday"
"47",0,2012-10-01,350,"Weekday"
"48",0,2012-10-01,355,"Weekday"
"49",1.18867924528302,2012-10-01,400,"Weekday"
"50",0.943396226415094,2012-10-01,405,"Weekday"
"51",2.56603773584906,2012-10-01,410,"Weekday"
"52",0,2012-10-01,415,"Weekday"
"53",0.339622641509434,2012-10-01,420,"Weekday"
"54",0.358490566037736,2012-10-01,425,"Weekday"
"55",4.11320754716981,2012-10-01,430,"Weekday"
"56",0.660377358490566,2012-10-01,435,"Weekday"
"57",3.49056603773585,2012-10-01,440,"Weekday"
"58",0.830188679245283,2012-10-01,445,"Weekday"
"59",3.11320754716981,2012-10-01,450,"Weekday"
"60",1.11320754716981,2012-10-01,455,"Weekday"
"61",0,2012-10-01,500,"Weekday"
"62",1.56603773584906,2012-10-01,505,"Weekday"
"63",3,2012-10-01,510,"Weekday"
"64",2.24528301886792,2012-10-01,515,"Weekday"
"65",3.32075471698113,2012-10-01,520,"Weekday"
"66",2.9622641509434,2012-10-01,525,"Weekday"
"67",2.09433962264151,2012-10-01,530,"Weekday"
"68",6.05660377358491,2012-10-01,535,"Weekday"
"69",16.0188679245283,2012-10-01,540,"Weekday"
"70",18.3396226415094,2012-10-01,545,"Weekday"
"71",39.4528301886792,2012-10-01,550,"Weekday"
"72",44.4905660377358,2012-10-01,555,"Weekday"
"73",31.4905660377358,2012-10-01,600,"Weekday"
"74",49.2641509433962,2012-10-01,605,"Weekday"
"75",53.7735849056604,2012-10-01,610,"Weekday"
"76",63.4528301886792,2012-10-01,615,"Weekday"
"77",49.9622641509434,2012-10-01,620,"Weekday"
"78",47.0754716981132,2012-10-01,625,"Weekday"
"79",52.1509433962264,2012-10-01,630,"Weekday"
"80",39.3396226415094,2012-10-01,635,"Weekday"
"81",44.0188679245283,2012-10-01,640,"Weekday"
"82",44.1698113207547,2012-10-01,645,"Weekday"
"83",37.3584905660377,2012-10-01,650,"Weekday"
"84",49.0377358490566,2012-10-01,655,"Weekday"
"85",43.811320754717,2012-10-01,700,"Weekday"
"86",44.377358490566,2012-10-01,705,"Weekday"
"87",50.5094339622642,2012-10-01,710,"Weekday"
"88",54.5094339622642,2012-10-01,715,"Weekday"
"89",49.9245283018868,2012-10-01,720,"Weekday"
"90",50.9811320754717,2012-10-01,725,"Weekday"
"91",55.6792452830189,2012-10-01,730,"Weekday"
"92",44.3207547169811,2012-10-01,735,"Weekday"
"93",52.2641509433962,2012-10-01,740,"Weekday"
"94",69.5471698113208,2012-10-01,745,"Weekday"
"95",57.8490566037736,2012-10-01,750,"Weekday"
"96",56.1509433962264,2012-10-01,755,"Weekday"
"97",73.377358490566,2012-10-01,800,"Weekday"
"98",68.2075471698113,2012-10-01,805,"Weekday"
"99",129.433962264151,2012-10-01,810,"Weekday"
"100",157.528301886792,2012-10-01,815,"Weekday"
"101",171.150943396226,2012-10-01,820,"Weekday"
"102",155.396226415094,2012-10-01,825,"Weekday"
"103",177.301886792453,2012-10-01,830,"Weekday"
"104",206.169811320755,2012-10-01,835,"Weekday"
"105",195.924528301887,2012-10-01,840,"Weekday"
"106",179.566037735849,2012-10-01,845,"Weekday"
"107",183.396226415094,2012-10-01,850,"Weekday"
"108",167.018867924528,2012-10-01,855,"Weekday"
"109",143.452830188679,2012-10-01,900,"Weekday"
"110",124.037735849057,2012-10-01,905,"Weekday"
"111",109.11320754717,2012-10-01,910,"Weekday"
"112",108.11320754717,2012-10-01,915,"Weekday"
"113",103.716981132075,2012-10-01,920,"Weekday"
"114",95.9622641509434,2012-10-01,925,"Weekday"
"115",66.2075471698113,2012-10-01,930,"Weekday"
"116",45.2264150943396,2012-10-01,935,"Weekday"
"117",24.7924528301887,2012-10-01,940,"Weekday"
"118",38.7547169811321,2012-10-01,945,"Weekday"
"119",34.9811320754717,2012-10-01,950,"Weekday"
"120",21.0566037735849,2012-10-01,955,"Weekday"
"121",40.5660377358491,2012-10-01,1000,"Weekday"
"122",26.9811320754717,2012-10-01,1005,"Weekday"
"123",42.4150943396226,2012-10-01,1010,"Weekday"
"124",52.6603773584906,2012-10-01,1015,"Weekday"
"125",38.9245283018868,2012-10-01,1020,"Weekday"
"126",50.7924528301887,2012-10-01,1025,"Weekday"
"127",44.2830188679245,2012-10-01,1030,"Weekday"
"128",37.4150943396226,2012-10-01,1035,"Weekday"
"129",34.6981132075472,2012-10-01,1040,"Weekday"
"130",28.3396226415094,2012-10-01,1045,"Weekday"
"131",25.0943396226415,2012-10-01,1050,"Weekday"
"132",31.9433962264151,2012-10-01,1055,"Weekday"
"133",31.3584905660377,2012-10-01,1100,"Weekday"
"134",29.6792452830189,2012-10-01,1105,"Weekday"
"135",21.3207547169811,2012-10-01,1110,"Weekday"
"136",25.5471698113208,2012-10-01,1115,"Weekday"
"137",28.377358490566,2012-10-01,1120,"Weekday"
"138",26.4716981132075,2012-10-01,1125,"Weekday"
"139",33.4339622641509,2012-10-01,1130,"Weekday"
"140",49.9811320754717,2012-10-01,1135,"Weekday"
"141",42.0377358490566,2012-10-01,1140,"Weekday"
"142",44.6037735849057,2012-10-01,1145,"Weekday"
"143",46.0377358490566,2012-10-01,1150,"Weekday"
"144",59.188679245283,2012-10-01,1155,"Weekday"
"145",63.8679245283019,2012-10-01,1200,"Weekday"
"146",87.6981132075472,2012-10-01,1205,"Weekday"
"147",94.8490566037736,2012-10-01,1210,"Weekday"
"148",92.7735849056604,2012-10-01,1215,"Weekday"
"149",63.3962264150943,2012-10-01,1220,"Weekday"
"150",50.1698113207547,2012-10-01,1225,"Weekday"
"151",54.4716981132075,2012-10-01,1230,"Weekday"
"152",32.4150943396226,2012-10-01,1235,"Weekday"
"153",26.5283018867925,2012-10-01,1240,"Weekday"
"154",37.7358490566038,2012-10-01,1245,"Weekday"
"155",45.0566037735849,2012-10-01,1250,"Weekday"
"156",67.2830188679245,2012-10-01,1255,"Weekday"
"157",42.3396226415094,2012-10-01,1300,"Weekday"
"158",39.8867924528302,2012-10-01,1305,"Weekday"
"159",43.2641509433962,2012-10-01,1310,"Weekday"
"160",40.9811320754717,2012-10-01,1315,"Weekday"
"161",46.2452830188679,2012-10-01,1320,"Weekday"
"162",56.4339622641509,2012-10-01,1325,"Weekday"
"163",42.7547169811321,2012-10-01,1330,"Weekday"
"164",25.1320754716981,2012-10-01,1335,"Weekday"
"165",39.9622641509434,2012-10-01,1340,"Weekday"
"166",53.5471698113208,2012-10-01,1345,"Weekday"
"167",47.3207547169811,2012-10-01,1350,"Weekday"
"168",60.811320754717,2012-10-01,1355,"Weekday"
"169",55.7547169811321,2012-10-01,1400,"Weekday"
"170",51.9622641509434,2012-10-01,1405,"Weekday"
"171",43.5849056603774,2012-10-01,1410,"Weekday"
"172",48.6981132075472,2012-10-01,1415,"Weekday"
"173",35.4716981132075,2012-10-01,1420,"Weekday"
"174",37.5471698113208,2012-10-01,1425,"Weekday"
"175",41.8490566037736,2012-10-01,1430,"Weekday"
"176",27.5094339622642,2012-10-01,1435,"Weekday"
"177",17.1132075471698,2012-10-01,1440,"Weekday"
"178",26.0754716981132,2012-10-01,1445,"Weekday"
"179",43.622641509434,2012-10-01,1450,"Weekday"
"180",43.7735849056604,2012-10-01,1455,"Weekday"
"181",30.0188679245283,2012-10-01,1500,"Weekday"
"182",36.0754716981132,2012-10-01,1505,"Weekday"
"183",35.4905660377358,2012-10-01,1510,"Weekday"
"184",38.8490566037736,2012-10-01,1515,"Weekday"
"185",45.9622641509434,2012-10-01,1520,"Weekday"
"186",47.7547169811321,2012-10-01,1525,"Weekday"
"187",48.1320754716981,2012-10-01,1530,"Weekday"
"188",65.3207547169811,2012-10-01,1535,"Weekday"
"189",82.9056603773585,2012-10-01,1540,"Weekday"
"190",98.6603773584906,2012-10-01,1545,"Weekday"
"191",102.11320754717,2012-10-01,1550,"Weekday"
"192",83.9622641509434,2012-10-01,1555,"Weekday"
"193",62.1320754716981,2012-10-01,1600,"Weekday"
"194",64.1320754716981,2012-10-01,1605,"Weekday"
"195",74.5471698113208,2012-10-01,1610,"Weekday"
"196",63.1698113207547,2012-10-01,1615,"Weekday"
"197",56.9056603773585,2012-10-01,1620,"Weekday"
"198",59.7735849056604,2012-10-01,1625,"Weekday"
"199",43.8679245283019,2012-10-01,1630,"Weekday"
"200",38.5660377358491,2012-10-01,1635,"Weekday"
"201",44.6603773584906,2012-10-01,1640,"Weekday"
"202",45.4528301886792,2012-10-01,1645,"Weekday"
"203",46.2075471698113,2012-10-01,1650,"Weekday"
"204",43.6792452830189,2012-10-01,1655,"Weekday"
"205",46.622641509434,2012-10-01,1700,"Weekday"
"206",56.3018867924528,2012-10-01,1705,"Weekday"
"207",50.7169811320755,2012-10-01,1710,"Weekday"
"208",61.2264150943396,2012-10-01,1715,"Weekday"
"209",72.7169811320755,2012-10-01,1720,"Weekday"
"210",78.9433962264151,2012-10-01,1725,"Weekday"
"211",68.9433962264151,2012-10-01,1730,"Weekday"
"212",59.6603773584906,2012-10-01,1735,"Weekday"
"213",75.0943396226415,2012-10-01,1740,"Weekday"
"214",56.5094339622642,2012-10-01,1745,"Weekday"
"215",34.7735849056604,2012-10-01,1750,"Weekday"
"216",37.4528301886792,2012-10-01,1755,"Weekday"
"217",40.6792452830189,2012-10-01,1800,"Weekday"
"218",58.0188679245283,2012-10-01,1805,"Weekday"
"219",74.6981132075472,2012-10-01,1810,"Weekday"
"220",85.3207547169811,2012-10-01,1815,"Weekday"
"221",59.2641509433962,2012-10-01,1820,"Weekday"
"222",67.7735849056604,2012-10-01,1825,"Weekday"
"223",77.6981132075472,2012-10-01,1830,"Weekday"
"224",74.2452830188679,2012-10-01,1835,"Weekday"
"225",85.3396226415094,2012-10-01,1840,"Weekday"
"226",99.4528301886792,2012-10-01,1845,"Weekday"
"227",86.5849056603774,2012-10-01,1850,"Weekday"
"228",85.6037735849057,2012-10-01,1855,"Weekday"
"229",84.8679245283019,2012-10-01,1900,"Weekday"
"230",77.8301886792453,2012-10-01,1905,"Weekday"
"231",58.0377358490566,2012-10-01,1910,"Weekday"
